,Title,Published_date,Views,Likes,Comments,VIDEO_ID
163,"RAW Deadlift Session at Anytime Fitness, Dwarka | Training Chest ft. @YashSharmaFitness | Ep.16",2021-10-26T05:59:24Z,159832,10013,305,lwGPT_WluJo
164,"Training w/ Yash Anand & Yash Sharma | Studio Visit, BBQ Dinner Night | Road To Nationals Ep.15",2021-10-23T06:00:04Z,205347,13394,392,BKI5n9o5ogU
165,ARRIVING IN DELHI! Road To Nationals Ep.14,2021-10-22T06:00:19Z,131544,11097,293,hIdSylz5pBs
166,STARTING THE PROGRAM! Road To Nationals Ep.13,2021-10-21T06:00:41Z,122089,9858,406,hBU5ZEXF_e0
167,ARE YOU READY? Road To Nationals Ep.12,2021-10-19T06:00:28Z,155106,12866,569,IuRcvkkdIo4
168,REBUILDING MY PHYSIQUE,2021-10-17T14:00:44Z,139109,12195,576,EhRVo3cSv60
169,"THE ASCENT BEGINS! Reaching Chirbassa (11,680 ft.) | Gaumukh-Tapovan Trek: Day 3",2021-10-16T12:20:42Z,89024,8038,376,J5-6V2UTokI
170,RAW Push Day ft. @FitMindsvlogs | 50KG DUMBBELL PRESS FOR REPS,2021-10-12T06:30:34Z,264547,19202,589,42xBBUlFuz8
171,"GUEST HOUSE TOUR + ACCLIMATIZATION DAY AT GANGOTRI (10,171 ft.) | Gaumukh-Tapovan Trek: Day 2",2021-10-08T12:00:16Z,119783,10205,421,ktgWRD0zz9c
172,"A SCENIC JOURNEY TO GANGOTRI (10,171 ft.) | Gaumukh-Tapovan Trek: Day 1",2021-10-06T12:00:07Z,131757,12836,646,CHbxtJ-TE28
173,Journey to the Himalayas Begins,2021-10-04T11:04:43Z,141731,13587,531,s0b3rxWDPro
174,PACKING UP!!,2021-10-02T06:55:18Z,123241,10646,454,irHpEMr7Zu4
175,FUTURE ACADEMIC PLANS! Visiting Pune University + Back Workout,2021-09-29T14:23:12Z,133778,12979,1253,NgFYN0Pe2Xk
176,Shopping At H&M | Leg Day,2021-09-27T13:53:03Z,209338,14458,436,3hUqWummOfo
177,Preparing For The Himalayas,2021-09-25T05:06:52Z,127650,11980,441,QaQ-EFr8jTw
178,I'm Benching Again,2021-09-22T11:30:24Z,141846,11975,655,s_Mo1oJw75Q
179,Hiking With My Dad,2021-09-19T10:30:12Z,169440,17337,751,UqBkEgG9vjE
180,"RAW Leg Workout | Strength vs Hypertrophy Training, Caffeine & More",2021-09-14T11:24:57Z,159291,11797,641,oSwVKIhvR1Y
181,"Training BACK & BICEPS at Danny's Gym, Pune",2021-09-09T11:56:32Z,214566,15838,674,FQ2okQXhcd4
182,Growing Weak Points ft. @AryanKhannayt | Detailed Back & Biceps Workout,2021-09-05T05:23:46Z,199225,14321,700,8bv2UA_QT6w
183,Training Back & Biceps in Anjuna | Goa Ep.06,2021-08-31T12:07:38Z,213576,14500,495,M38w_E5yrAc
184,Royal Enfield Garage Café: Modern & Luxurious | Goa Ep.05,2021-08-29T09:23:31Z,184090,14035,569,vmF3Poi-Lkk
185,Training Chest in Anjuna | Goa Ep.04,2021-08-26T13:44:26Z,244369,15327,701,OTXDI_JDWO0
186,Visiting Burger Factory! Goa Ep.03,2021-08-25T12:36:14Z,263153,15079,502,qH2Vt0aMwBE
187,Reaching Goa! Hotel Room Tour | Goa Ep.02,2021-08-24T12:50:27Z,214745,15081,529,0UNVuah3aHo
188,Pune To Goa: The Journey Begins | Goa Ep.01,2021-08-23T11:30:48Z,208837,15553,572,nmB13X6jx1U
189,The Last Workout Before Goa,2021-08-22T12:00:39Z,197962,14392,628,7uCqygbGyF4
190,The Comeback,2021-08-21T11:50:59Z,137058,12142,661,1WJOyvPnWeg
191,The Strongest & Leanest I've Ever Been,2021-08-19T11:53:36Z,218902,16518,820,U7JsLQr-iqs
192,Her First Day at the Gym,2021-08-13T13:16:31Z,500355,26916,1293,_q3ZeRr6nwc
193,WELCOME TO PUNE! (Pt.2) @YashSharmaFitness,2021-08-11T12:48:47Z,168154,12156,528,9ObIU7sGXaI
194,INTENSE Back & Biceps Workout w/ @theyashanand @AryanKhannayt @SiddhantRaiSikand | Delhi Bonus Ep.01,2021-08-09T10:17:22Z,455895,19828,517,2e2yiWGL8oY
195,Unboxing My New Smartwatch,2021-08-07T09:46:42Z,190857,13979,610,1Mg7YpxpBY0
196,Back To Routine,2021-08-04T10:55:13Z,137012,12536,867,0GiXg-LghnE
197,My 4 Year Natural Body Transformation (16-20) | Saket Gokhale #shorts,2021-08-02T07:35:22Z,9653452,790954,3835,kRRYqOKd1rc
198,Back Home,2021-07-30T12:06:37Z,171048,15170,577,SG0bs_ixgDo
199,THE LAST DAY! Checking Out | Delhi Ep.11,2021-07-29T08:34:33Z,130552,10337,376,dTWk5-1deHo
200,INTENSE Men’s Physique CHEST Workout w/ @SiddhantRaiSikand  | Delhi Ep.10,2021-07-28T05:27:04Z,525138,25270,809,bQC6Db7ppWM
201,iPhone 12 Mini UNBOXING!! Delhi Ep.09,2021-07-27T06:03:00Z,334327,26961,766,MGEbJbgX8fA
202,"A FUN SUNDAY! Basketball & Tennis 1v1, Hotel Gym Back Workout | Delhi Ep.08",2021-07-26T09:34:44Z,240313,15012,608,TH07QnuWIPE
203,MOVING IN TOGETHER! Delhi Ep.07,2021-07-25T06:04:07Z,215701,16394,636,Nhzzho8Hb_c
204,WE TRICKED EVERYONE!!! @AryanKhannayt | Delhi Ep.06,2021-07-24T13:56:59Z,119762,10002,446,mGY4YVbXfA8
205,OUR HOTEL ROOM TOUR + Hotel Gym Workout w/ Yash Anand & Yash Sharma! Delhi Ep.05,2021-07-24T04:35:36Z,238615,15086,792,n47l6w3e630
206,Inside MuscleBlaze's PROTEIN TESTING LABORATORY! Delhi Ep.04,2021-07-23T13:15:16Z,152074,12426,403,r344CuPjQq8
207,THE MuscleBlaze ADVERTISEMENT SHOOT ft. Yash Anand! Delhi Ep.03,2021-07-21T13:52:03Z,182402,15231,505,2J6tTeuP4Yw
208,RAW LEG WORKOUT w/ @YashSharmaFitness & @theyashanand! Delhi Ep.02,2021-07-21T03:50:19Z,269364,16395,509,Ovc19iyMtuI
209,WE'RE HERE!!! Reunited in Delhi ft. Yash Anand & Yash Sharma Fitness,2021-07-19T13:00:32Z,187505,17529,822,brYAGKJEN-c
210,WE’RE READY TO LEAVE! The Final Day + Packing Up,2021-07-18T13:02:14Z,173853,15431,726,cdLlng8hhDg
211,COLLEGE IS OVER!!! The Last Paper & Workout in Pune,2021-07-17T12:06:32Z,159232,13644,788,SVEKTMSWzrQ
212,LEAVING SOON! Packing Up + Heavy Incline Presses,2021-07-16T15:26:21Z,130365,11117,729,Z4gCxbMDtlo
213,MINI GYM ACCIDENT | Wounded Chest Day,2021-07-15T11:35:11Z,144241,13679,732,mdE_wvXA2AQ
214,Final Exams Begin! 🙇🏼‍♂️,2021-07-14T13:42:14Z,117683,11664,680,oETnublItfA
215,Unboxing x2 New Packages! 📦 A Productive Morning + Back Workout,2021-07-12T13:32:34Z,218397,15682,861,9ECma-MFnLE
216,LEG DAY,2021-07-09T14:00:21Z,160215,12915,730,Jq0VwO77ivs
217,Q&A \\ answering fun questions ft. @Aryan Khanna,2021-07-06T11:07:06Z,452228,27301,1293,t-jRwcarxJk
218,Repetition & Practice,2021-06-30T13:48:08Z,138815,10589,951,Mu-3QXBqJsQ
